id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
30948511,Gemütliches 1-Zimmer Apartment nahe  Uno-City,92979273,Birgit,,Leopoldstadt,48.22457,16.40141,Entire home/apt,66,3,77,2025-03-01,1.07,22,261,21,
30959066,"VIENNA 
CITY CENTER 
Apartment 86m2",231329988,Raoul,,Mariahilf,48.19908,16.35611,Entire home/apt,,2,9,2019-03-24,0.12,1,0,0,
30969511,"Vienna Vintage - Lightful, Spacious, Central Flat",231397185,Helga,,Leopoldstadt,48.218,16.37417,Entire home/apt,,1,4,2019-03-10,0.05,1,0,0,
30970423,4 Beds and More Vienna Apartments for 8 guests,181410615,4beds&More,,Favoriten,48.16783,16.38217,Hotel room,,2,0,,,3,0,0,
30970425,4 Beds and More Vienna Apartments for 6 guests,181410615,4beds&More,,Favoriten,48.16608,16.38169,Hotel room,,1,0,,,3,0,0,
30972228,Beautiful Apartment with an  view over Vienna,53270069,Vincent,,Ottakring,48.21284,16.32872,Entire home/apt,,5,0,,,2,0,0,
30974146,cozy room very central in Vienna,180168963,Cecilia,,Josefstadt,48.21249,16.35517,Private room,,4,1,2019-01-03,0.01,2,0,0,
30974932,Petit bel apartment,22995296,Wolfgang,,Alsergrund,48.22533,16.35587,Entire home/apt,,2,60,2025-01-02,0.79,1,0,8,
30976913,"Warm, cozy and well-connected Apartment!",231441853,Belma,,Ottakring,48.2134,16.32797,Entire home/apt,60,1,189,2024-12-27,2.51,1,20,20,
31950161,Near Palace Schönbrunn - Apt. 14,175131,Ingela,,Rudolfsheim-Fnfhaus,48.18498,16.32731,Entire home/apt,54,1,53,2024-12-29,0.78,14,1,14,
31966454,"New, stylish & top located Apartment",27650060,Andrea,,Rudolfsheim-Fnfhaus,48.19567,16.31438,Entire home/apt,,90,8,2022-09-29,0.11,5,0,0,
31982155,Nicht aktiv,99929843,Magdalena,,Rudolfsheim-Fnfhaus,48.20168,16.33295,Private room,,2,2,2019-03-12,0.03,1,0,0,
